DATE,LEU0252887700Q
2000-01-01,603
2000-04-01,606
2000-07-01,611
2000-10-01,614
2001-01-01,620
2001-04-01,624
2001-07-01,636
2001-10-01,642
2002-01-01,645
2002-04-01,643
2002-07-01,646
2002-10-01,651
2003-01-01,659
2003-04-01,659
2003-07-01,662
2003-10-01,667
2004-01-01,676
2004-04-01,684
2004-07-01,681
2004-10-01,692
2005-01-01,696
2005-04-01,688
2005-07-01,697
2005-10-01,704
2006-01-01,712
2006-04-01,705
2006-07-01,726
2006-10-01,726
2007-01-01,733
2007-04-01,735
2007-07-01,745
2007-10-01,741
2008-01-01,757
2008-04-01,760
2008-07-01,763
2008-10-01,764
2009-01-01,772
2009-04-01,770
2009-07-01,774
2009-10-01,780
2010-01-01,787
2010-04-01,774
2010-07-01,780
2010-10-01,788
2011-01-01,791
2011-04-01,794
2011-07-01,798
2011-10-01,805
2012-01-01,815
2012-04-01,821
2012-07-01,803
2012-10-01,823
2013-01-01,827
2013-04-01,828
2013-07-01,820
2013-10-01,835
2014-01-01,837
2014-04-01,831
2014-07-01,839
2014-10-01,847
2015-01-01,856
2015-04-01,852
2015-07-01,857
2015-10-01,872
2016-01-01,878
2016-04-01,880
2016-07-01,886
2016-10-01,896
2017-01-01,908
2017-04-01,909
2017-07-01,909
2017-10-01,902
2018-01-01,922
2018-04-01,928
2018-07-01,934
2018-10-01,946
2019-01-01,954
2019-04-01,960
2019-07-01,975
2019-10-01,984
2020-01-01,1000
2020-04-01,1046
2020-07-01,1051
2020-10-01,1029
2021-01-01,1040
2021-04-01,1048
2021-07-01,1068
2021-10-01,1069
2022-01-01,1100
